what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392763979132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392763981605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392763990113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392763997439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392763998932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392763999124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1392764017232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764017873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764036333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764043125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764046602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764057603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764065827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764070652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764086353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392764089364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764091303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764092742
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392764096567
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1392764111797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764113360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764113641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1392764116123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764118985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764127582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764135095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764141869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392764144479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1392764151504
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764153619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764153838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392764165869
